은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
A17,웰컴저축은행,웰뱅 잔돈자동적금,잔돈을 잔돈적립서비스에 따라 자동으로 적립하고 잔돈적립서비스 이용 충족에 따라 우대금리를 받는 자유적립식 상품,12개월,12개월,제한없음,제한없음,1.5
A17,웰컴저축은행,WELCOME 체크플러스2 m 정기적금,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,12개월이상,24개월미만,제한없음,제한없음,2.8
A17,웰컴저축은행,WELCOME 체크플러스2 m 정기적금,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,24개월,24개월,제한없음,제한없음,3.0
A22,푸른저축,자유적립예금,일정한기간을 정하고 금액및 회수에 제한없이 자유롭게 저축하여 만기시에 월복리로 계산된 이자와 원금을 받으시는 편리한 상품입니다,1개월이상,3개월미만,제한없음,제한없음,3.2
A17,웰컴저축은행,자유 적립 예금,"금액 및 횟수 제한 없이 자유롭게 납입하고, 만기 시 월복리로 이자가 계산되는 자유적립식 예금",24개월이상,36개월미만,제한없음,제한없음,3.5
A17,웰컴저축은행,WELCOME 잔돈모아 올림 적금,"입출금계좌의 잔돈을 적립하고, 만기 시 만원 단위로 수령할 수 있는 자유적립식 상품",12개월,12개월,제한없음,제한없음,2.8
A17,웰컴저축은행,m - 정기적금,당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,6개월이상,12개월미만,제한없음,제한없음,2.9
A17,웰컴저축은행,m - 정기적금,당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,12개월이상,24개월미만,제한없음,제한없음,3.1
A17,웰컴저축은행,m - 정기적금,: 당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,24개월이상,36개월미만,제한없음,제한없음,3.3
A17,웰컴저축은행,m - 정기적금,당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,36개월이상,60개월이하,제한없음,제한없음,3.5
Z03,카카오뱅크,자유적금,"일정한 기간을 정하고, 자유롭게 저축하여 목돈을 모으는 상품 ? 급하게 돈이 필요한 경우 해지 없이도 저축금액 중 일부를 출금할 수 있고, 자동해지, 자동연장 등 만기도 자동으로 관리 가능",6개월이상,12개월미만,제한없음,제한없음,3.5
A17,웰컴저축은행,정기적금,당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,6개월이상,12개월미만,제한없음,제한없음,2.9
A17,웰컴저축은행,정기적금,당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,12개월이상,24개월미만,제한없음,제한없음,3.1
A17,웰컴저축은행,정기적금,당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,24개월이상,36개월미만,제한없음,제한없음,3.3
A17,웰컴저축은행,정기적금,당행 입출금이 자유로운 예금을 통한 자동이체 납입실적에 따라 우대금리를 제공하는 적립식 상품,36개월이상,60개월이하,제한없음,제한없음,3.5
A17,웰컴저축은행,자유 적립 예금,"금액 및 횟수 제한 없이 자유롭게 납입하고, 만기 시 월복리로 이자가 계산되는 자유적립식 예금",3개월이상,6개월미만,제한없음,제한없음,1.3
A17,웰컴저축은행,자유 적립 예금,"금액 및 횟수 제한 없이 자유롭게 납입하고, 만기 시 월복리로 이자가 계산되는 자유적립식 예금",6개월이상,12개월미만,제한없음,제한없음,2.5
A17,웰컴저축은행,자유 적립 예금,"금액 및 횟수 제한 없이 자유롭게 납입하고, 만기 시 월복리로 이자가 계산되는 자유적립식 예금",12개월이상,24개월미만,제한없음,제한없음,4.0
A22,푸른저축,자유적립예금,일정한기간을 정하고 금액및 회수에 제한없이 자유롭게 저축하여 만기시에 월복리로 계산된 이자와 원금을 받으시는 편리한 상품입니다,3개월이상,6개월미만,제한없음,제한없음,3.3
A17,웰컴저축은행,자유 적립 예금,"금액 및 횟수 제한 없이 자유롭게 납입하고, 만기 시 월복리로 이자가 계산되는 자유적립식 예금",36개월,36개월,제한없음,제한없음,3.5
F05,오투저축은행,e-정기적금,기간과 가입한도를 미리 정하고 금액을 매월  납입 약정일에 정기적으로 불입하는 정액적립식 상품,6개월이상,12개월미만,제한없음,제한없음,3.5
A22,푸른저축,프리스타일적금,일정한 기간동안 금액에 제한없이 자유로이 납부하시고 계약기간 만료시 적립한 원금과 이자를 받으시는 확정금리 적립식 상품입니다,12개월이상,36개월이하,제한없음,제한없음,4.0
Z03,카카오뱅크,자유적금,"일정한 기간을 정하고, 자유롭게 저축하여 목돈을 모으는 상품 ? 급하게 돈이 필요한 경우 해지 없이도 저축금액 중 일부를 출금할 수 있고, 자동해지, 자동연장 등 만기도 자동으로 관리 가능",12개월이상,36개월이하,제한없음,제한없음,3.8
A22,푸른저축,정기적금,일정한 기간동안 정기적으로 일정금액을 납입하시고 계약기간 만료시 적립한 원금과 이자를 받으시는 적립식 상품입니다,100일,100일,제한없음,제한없음,3.0
A22,푸른저축,정기적금,일정한 기간동안 정기적으로 일정금액을 납부하시고 계약기간 만료시 적립한 원금과 이자를 받으시는 적립식 상품입니다,6개월이상,12개월미만,제한없음,제한없음,3.5
A23,하나저축,자유적립예금,일정한 기간을 정하고 금액 및 횟수에 제한 없이 자유롭게 불입하는 상품,1개월,1개월,제한없음,제한없음,1.1
A23,하나저축,자유적립예금,일정한 기간을 정하고 금액 및 횟수에 제한 없이 자유롭게 불입하는 상품,3개월,3개월,제한없음,제한없음,2.1
A23,하나저축,자유적립예금,일정한 기간을 정하고 금액 및 횟수에 제한 없이 자유롭게 불입하는 상품,6개월,6개월,제한없음,제한없음,2.2
A23,하나저축,자유적립예금,일정한 기간을 정하고 금액 및 횟수에 제한 없이 자유롭게 불입하는 상품,12개월,12개월,제한없음,제한없음,3.7
A23,하나저축,자유적립예금,일정한 기간을 정하고 금액 및 횟수에 제한 없이 자유롭게 불입하는 상품,24개월,24개월,제한없음,제한없음,3.2
A23,하나저축,자유적립예금,일정한 기간을 정하고 금액 및 횟수에 제한 없이 자유롭게 불입하는 상품,36개월,36개월,제한없음,제한없음,3.1
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,1개월,1개월,10만원이상,제한없음,1.1
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,3개월,3개월,10만원이상,제한없음,2.1
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,6개월,6개월,10만원이상,제한없음,2.2
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,12개월,12개월,10만원이상,제한없음,3.7
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월,24개월,10만원이상,제한없음,3.2
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,36개월,36개월,10만원이상,제한없음,3.1
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,1개월,1개월,10만원이상,제한없음,1.1
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,3개월,3개월,10만원이상,제한없음,2.1
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,6개월,6개월,10만원이상,제한없음,2.21
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,12개월,12개월,10만원이상,제한없음,3.76
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월,24개월,10만원이상,제한없음,3.3
A23,하나저축,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,36개월,36개월,10만원이상,제한없음,3.24
A23,하나저축,정기적금,매월 일정금액을 불입하여 목돈을 마련하는 상품,6개월이상,12개월미만,제한없음,제한없음,2.5
A23,하나저축,정기적금,매월 일정금액을 불입하여 목돈을 마련하는 상품,12개월이상,60개월이하,제한없음,제한없음,3.7
A23,하나저축,파란하늘정기적금,"환경을 살리고, 6개월 유지 시 중도해지 시점 적용된 「기본금리+우대금리」 이자를 지급하는 정기적금",12개월,12개월,제한없음,제한없음,2.0
007,수협은행,달려라2030정기적금,2030세대를 위한 고객 자금수요에 맞추어 여유자금을 적립하는 고금리 정액적립식 상품,36개월,36개월,제한없음,제한없음,2.95
F02,상상인플러스저축은행,정기적금,일정한 기간과 불입금액을 정하여 목돈을 만들기 위한 적립식 상품입니다,6개월이상,12개월이하,제한없음,제한없음,2.1
F02,상상인플러스저축은행,정기적금,일정한 기간과 불입금액을 정하여 목돈을 만들기 위한 적립식 상품입니다,12개월이상,24개월미만,제한없음,제한없음,2.2
F02,상상인플러스저축은행,정기적금,일정한 기간과 불입금액을 정하여 목돈을 만들기 위한 적립식 상품입니다,24개월이상,36개월이하,제한없음,제한없음,2.3
F02,상상인플러스저축은행,정기적금(비대면),영업점 방문없이 스마트폰을 이용해 개설이 가능 하며 목돈을 만들기 위한 적립식 상품입니다,6개월이상,12개월미만,제한없음,제한없음,2.1
D05,드림저축은행,정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,12개월 이상,24개월 미만,제한없음,제한없음,4.1
F02,상상인플러스저축은행,정기적금(비대면),영업점 방문없이 스마트폰을 이용해 개설이 가능 하며 목돈을 만들기 위한 적립식 상품입니다,12개월이상,24개월미만,제한없음,제한없음,2.2
007,수협은행,달려라2030자유적금,"2030세대를 위한 고객 자금수요에 맞추어 여유자금을 적립하고 필요자금을 연단위로 인출 또는 해지할 수 있는 거치식, 적립식, 입출금이 자유로운 예금의 장점이 결합된 상품이며, 연단위로 원가되어 연복리가 적용되는고금리 자유적립식 상품",12개월 이상,36개월 이하,제한없음,제한없음,1.7
F05,오투저축은행,정기적금,기간과 가입한도를 미리 정하고 금액을 매월 납입 약정일에 정기적으로 불입하는 정액적립식 상품,6개월이상,12개월미만,제한없음,제한없음,3.5
F02,상상인플러스저축은행,정기적금(비대면),영업점 방문없이 스마트폰을 이용해 개설이 가능 하며 목돈을 만들기 위한 적립식 상품입니다,24개월이상,36개월이하,제한없음,제한없음,2.3
F05,오투저축은행,정기적금,기간과 가입한도를 미리 정하고 금액을 매월 납입 약정일에 정기적으로 불입하는 정액적립식 상품,12개월이상,24개월미만,제한없음,제한없음,4.3
F05,오투저축은행,정기적금,기간과 가입한도를 미리 정하고 금액을 매월 납입 약정일에 정기적으로 불입하는 정액적립식 상품,24개월이상,36개월이하,제한없음,제한없음,4.0
F05,오투저축은행,e-정기적금,기간과 가입한도를 미리 정하고 금액을 매월  납입 약정일에 정기적으로 불입하는 정액적립식 상품,12개월이상,24개월미만,제한없음,제한없음,4.3
F05,오투저축은행,e-정기적금,기간과 가입한도를 미리 정하고 금액을 매월  납입 약정일에 정기적으로 불입하는 정액적립식 상품,24개월이상,36개월이하,제한없음,제한없음,4.0
007,수협은행,정기적금,일정한 기간을 정하여 일정일에 일정금액을 납입하면 계약금액을 지급하는 목돈마련저축,12개월 이상,24개월 미만,제한없음,제한없음,3.2
007,수협은행,상호부금,"일정한 기간동안 매월 저축금을 납입하면 만기일에 계약한 금액을 목돈으로 받을 수 있으며, 정기적금보다 계약기간의 선택폭이 큰 적립식예금",12개월 이상,24개월 미만,제한없음,제한없음,2.4
003,기업은행,정기적금 [정액적금],목돈을 만들기 위해 일정기간 일정금액을 적립하는 상,01개월이상,06개월미만,제한없음,제한없음,3.2
003,기업은행,정기적금 [정액적금],목돈을 만들기 위해 일정기간 일정금액을 적립하는 상,6개월이상,12개월미만,제한없음,제한없음,3.4
007,수협은행,상호부금,"일정한 기간동안 매월 저축금을 납입하면 만기일에 계약한 금액을 목돈으로 받을 수 있으며, 정기적금보다 계약기간의 선택폭이 큰 적립식예금",36개월 이상,48개월 미만,제한없음,제한없음,2.6
007,수협은행,상호부금,"일정한 기간동안 매월 저축금을 납입하면 만기일에 계약한 금액을 목돈으로 받을 수 있으며, 정기적금보다 계약기간의 선택폭이 큰 적립식예금",48개월 이상,60개월 미만,제한없음,제한없음,2.7
D05,드림저축은행,인터넷정기적금(1년이상),목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,12개월 이상,24개월 미만,제한없음,제한없음,4.1
D05,드림저축은행,인터넷정기적금(1년이상),목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,24개월 이상,36개월 미만,제한없음,제한없음,3.5
039,경남은행,정기적금,매월 일정액을 적립하여 목돈을 마련할 수 있는 상품으로서 1개월 이상 5년 이내에서 월 단위로 기간을 정할 수 있는 적립식 상품,6개월 이상,12개월 미만,제한없음,제한없음,2.9
039,경남은행,상호부금,매월 일정액의 부금 납입으로 목돈도 마련하고 중도에 목돈이 필요할 때 대출도 받을 수있는 편리한 저축 상품,60개월,60개월,제한없음,제한없음,3.4
D05,드림저축은행,인터넷정기적금(1년미만),목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,6개월,6개월,제한없음,제한없음,2.5
D05,드림저축은행,톡톡 정기적금,목돈 마련에 편리하며 종류에 따라 일정 기간 경과 후 대출도 받으실 수 있는 예금으로 예금자 보호법에 따라 보호가 되는 상품입니다.,6개월 이상,12개월 미만,제한없음,제한없음,2.5
E01,대한저축은행,정기적금-인터넷,정기적금 ( 월1만원 단위로 정기적으로 납입),6개월 이상,12개월 미만,제한없음,제한없음,2.1
E01,대한저축은행,정기적금(자유적립식)-인터넷,정기적금(자유적립식)-월중 입금합계액이 가입한도 1/10 이내로 납입,24개월 이상,60개월 이하,제한없음,제한없음,2.0
E03,동양저축은행,정기적금(창구),매월 정해진 일정금액을 불입하여 목돈을 만드는 확정형 적립성예금,6개월 이상,12개월 미만,제한없음,제한없음,2.5
020,우리은행,우리사랑 정기적금,매월 일정액을 납입하여 목돈을 마련하고자 하는 고객이 가입하는 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.95
A22,푸른저축,자유적립예금,일정한기간을 정하고 금액및 회수에 제한없이 자유롭게 저축하여 만기시에 월복리로 계산된 이자와 원금을 받으시는 편리한 상품입니다,6개월이상,12개월미만,제한없음,제한없음,3.5
F05,오투저축은행,자유적립예금,계약기간내 이내에서 횟수와 금액에 제한없이 입금이 자유로운 예금,3개월이상,6개월미만,제한없음,제한없음,3.0
032,부산은행,펫 적금,펫 다이어리 작성하고 우대금리 받는 정기적립식 및 자유적립식 적금 상품?,6개월,6개월,제한없음,제한없음,3.0
